value;proposed_method;mcc
18.0;;;
18.0;;;
18.0;18.0;18.0
10.0;;;
9.0;;;
10.0;;;
8.0;;;
8.0;;;
8.0;;;
8.0;;;
5.0;;;
8.0;;;
6.0;8.0;18.0
8.0;;;
9.0;8.0;18.0
10.0;;;
7.0;;;
10.0;;;
10.0;;;
12.0;;;
11.0;;;
10.0;;;
10.0;;;
11.0;;;
12.0;11.0;18.0
13.0;;;
13.0;;;
15.0;;;
18.0;;;
17.0;;;
18.0;;;
18.0;;;
19.0;18.0;18.0
19.0;;;
19.0;;;
19.0;;;
20.0;;;
18.0;;;
20.0;;;
20.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;;;
19.0;;;
16.0;19.0;18.0
15.0;;;
18.0;;;
16.0;;;
16.0;;;
18.0;;;
18.0;;;
16.0;;;
16.0;;;
19.0;16.0;18.0
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
22.0;;;
22.0;20.0;18.0
22.0;;;
20.0;;;
20.0;;;
18.0;;;
22.0;18.0;18.0
19.0;;;
19.0;19.0;18.0
20.0;;;
20.0;20.0;18.0
20.0;20.0;18.0
20.0;;;
20.0;;;
20.0;;;
17.0;;;
18.0;17.0;18.0
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;20.0;18.0
20.0;;;
20.0;;;
22.0;;;
22.0;22.0;18.0
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
19.0;22.0;18.0
19.0;;;
19.0;;;
18.0;;;
22.0;;;
22.0;;;
22.0;22.0;18.0
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
19.0;;;
20.0;;;
20.0;;;
22.0;;;
21.0;22.0;18.0
21.0;;;
21.0;21.0;18.0
21.0;;;
21.0;;;
21.0;21.0;18.0
21.0;;;
21.0;;;
19.0;;;
19.0;;;
19.0;;;
20.0;;;
20.0;20.0;18.0
19.0;;;
19.0;;;
16.0;;;
15.0;;;
15.0;;;
15.0;;;
15.0;;;
16.0;;;
15.0;;;
17.0;;;
19.0;;;
19.0;19.0;18.0
20.0;;;
20.0;;;
18.0;;;
19.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;21.0;18.0
21.0;;;
21.0;;;
19.0;;;
21.0;;;
20.0;;;
20.0;;;
17.0;;;
16.0;;;
13.0;17.0;18.0
12.0;;;
13.0;;;
10.0;;;
9.0;;;
12.0;;;
12.0;;;
13.0;;;
14.0;13.0;18.0
14.0;;;
15.0;;;
16.0;;;
19.0;;;
18.0;;;
18.0;;;
19.0;;;
16.0;;;
17.0;16.0;18.0
17.0;;;
14.0;;;
15.0;;;
15.0;;;
17.0;;;
19.0;;;
19.0;;;
19.0;;;
22.0;19.0;18.0
22.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;19.0;18.0
19.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;;;
20.0;;;
17.0;;;
19.0;;;
19.0;;;
19.0;19.0;18.0
20.0;;;
20.0;;;
17.0;20.0;18.0
14.0;;;
11.0;;;
8.0;;;
5.0;;;
6.0;;;
6.0;;;
6.0;;;
7.0;;;
7.0;7.0;18.0
9.0;;;
7.0;;;
8.0;;;
7.0;;;
7.0;;;
7.0;;;
10.0;7.0;18.0
10.0;;;
11.0;;;
11.0;;;
12.0;;;
14.0;;;
15.0;;;
15.0;;;
17.0;;;
19.0;;;
20.0;;;
21.0;20.0;18.0
21.0;;;
21.0;;;
21.0;;;
18.0;21.0;18.0
19.0;;;
19.0;;;
17.0;19.0;18.0
20.0;17.0;18.0
20.0;;;
20.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;;;
16.0;;;
16.0;;;
15.0;16.0;18.0
13.0;;;
14.0;;;
17.0;;;
21.0;;;
21.0;;;
21.0;;;
21.0;;;
19.0;;;
19.0;;;
18.0;;;
19.0;;;
20.0;19.0;18.0
20.0;;;
19.0;;;
18.0;;;
15.0;;;
14.0;;;
12.0;;;
13.0;;;
13.0;13.0;18.0
13.0;;;
12.0;13.0;18.0
13.0;;;
12.0;;;
13.0;;;
10.0;;;
7.0;;;
7.0;;;
9.0;;;
9.0;;;
7.0;;;
9.0;;;
7.0;7.0;18.0
7.0;;;
7.0;;;
8.0;;;
6.0;;;
3.0;;;
4.0;;;
5.0;;;
5.0;5.0;18.0
6.0;;;
9.0;;;
10.0;;;
10.0;;;
8.0;;;
9.0;;;
12.0;;;
10.0;;;
11.0;;;
11.0;;;
8.0;11.0;18.0
9.0;;;
10.0;;;
8.0;;;
9.0;;;
6.0;;;
7.0;;;
7.0;;;
4.0;;;
3.0;;;
3.0;;;
4.0;3.0;18.0
1.0;;;
1.0;;;
1.0;;;
1.0;;;
1.0;1.0;18.0
2.0;;;
1.0;;;
4.0;;;
3.0;4.0;18.0
5.0;;;
5.0;;;
4.0;;;
4.0;;;
5.0;;;
5.0;;;
3.0;;;
4.0;3.0;18.0
6.0;;;
4.0;;;
6.0;;;
7.0;;;
7.0;;;
8.0;;;
8.0;;;
5.0;;;
4.0;;;
4.0;;;
1.0;;;
2.0;1.0;18.0
2.0;;;
2.0;;;
2.0;;;
3.0;;;
6.0;;;
6.0;;;
7.0;;;
9.0;7.0;18.0
9.0;;;
10.0;;;
9.0;;;
10.0;;;
10.0;;;
12.0;;;
12.0;10.0;18.0
12.0;;;
12.0;;;
12.0;;;
12.0;;;
11.0;;;
12.0;;;
14.0;;;
12.0;;;
13.0;;;
13.0;13.0;18.0
13.0;;;
15.0;;;
15.0;;;
15.0;;;
16.0;;;
17.0;16.0;18.0
15.0;;;
17.0;;;
14.0;;;
17.0;;;
17.0;;;
18.0;;;
18.0;;;
19.0;;;
19.0;19.0;18.0
19.0;;;
17.0;;;
21.0;;;
21.0;;;
21.0;;;
19.0;;;
19.0;;;
17.0;;;
18.0;17.0;18.0
18.0;;;
17.0;;;
17.0;;;
14.0;;;
14.0;;;
14.0;14.0;18.0
15.0;;;
17.0;;;
18.0;;;
17.0;;;
17.0;;;
15.0;;;
18.0;;;
16.0;;;
17.0;;;
18.0;;;
18.0;18.0;18.0
15.0;;;
17.0;;;
17.0;;;
17.0;;;
16.0;;;
16.0;;;
16.0;;;
16.0;;;
16.0;;;
17.0;;;
21.0;;;
21.0;21.0;18.0
18.0;;;
18.0;;;
16.0;18.0;18.0
16.0;;;
17.0;;;
14.0;;;
11.0;;;
11.0;;;
11.0;;;
14.0;;;
17.0;11.0;18.0
17.0;;;
19.0;;;
17.0;;;
17.0;;;
16.0;;;
16.0;17.0;18.0
16.0;;;
16.0;;;
16.0;16.0;18.0
16.0;;;
15.0;;;
12.0;;;
12.0;;;
10.0;12.0;18.0
